longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,<1H OCEAN,483020.6
-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,<1H OCEAN,221708.09
-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,<1H OCEAN,205706.0
-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,<1H OCEAN,170623.0
-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,NEAR OCEAN,212497.0
-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,<1H OCEAN,164798.0
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,NEAR BAY,114046.0
-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,NEAR OCEAN,434144.28
-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,<1H OCEAN,280961.03
-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,NEAR OCEAN,258439.07
-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,<1H OCEAN,408649.28
-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,INLAND,69340.0
-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,INLAND,270996.0
-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,<1H OCEAN,266551.0
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,<1H OCEAN,235190.0
-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,INLAND,124375.0
-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,INLAND,92847.0
-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,INLAND,96797.0
-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,<1H OCEAN,338403.03
-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,<1H OCEAN,374039.09
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,<1H OCEAN,197371.0
-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,<1H OCEAN,296512.0
-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,<1H OCEAN,204461.0
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,INLAND,64569.0
-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,INLAND,112824.0
-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,INLAND,69609.0
-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,<1H OCEAN,312614.03
-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,INLAND,170627.0
-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,INLAND,78535.0
-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,INLAND,137369.0
-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,INLAND,172992.0
-120.17,39.33,10.0,614.0,141.0,195.0,95.0,0.9283,INLAND,102704.0
-118.35,34.02,34.0,3978.0,1073.0,2725.0,1035.0,1.7622,<1H OCEAN,143769.0
-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967,INLAND,87371.0
-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,INLAND,60508.0
-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,<1H OCEAN,369103.04
-117.09,32.58,12.0,2565.0,567.0,1785.0,545.0,3.0273,NEAR OCEAN,131954.0
-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,<1H OCEAN,230648.01
-121.44,38.53,37.0,1951.0,432.0,1089.0,411.0,2.3272,INLAND,90272.0
-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,<1H OCEAN,321848.1
-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,INLAND,243299.0
-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,<1H OCEAN,332238.0
